"Lect","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition"
"Iu Mien","Arisawa, Tatsuro Daniel",2016,"An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation","","LaTrobe University","","","","","",,""
"Japanese","Iwasaki, Shoichi",2013,"Japanese","John Benjamins Publishing Company","","","","","","",,"Revised"
"Japhug","Jacques, Guillaume",2021,"A grammar of Japhug","Language Science Press","","","","","","",,""
"Jarawa (India)","Kumar, Pramod",2012,"Descriptive and typological study of Jarawa","","Jawaharlal Nehru University","","","","","",,""
"Jejueo","Yang, Changyong and Yang, Sejung and O’Grady, William",2020,"Jejueo: The Language of Korea’s Jeju Island","University of Hawaii Press","","","","","","",,""
"Jennu Kurumba","Natanasabapathy, S.",1986,"The Language of Kattunaickas: A Linguistic Study","Annamalai University","","","","","","",,""
"Jerung","Opgenort, Jean R.",2005,"A Grammar of Jero","Brill","","","","","","",,""
"Jibbali","Rubin, Aaron D.",2014,"The Jibbali (Shaḥri) Language of Oman: Grammar and Texts","Brill","","","","","","",,""
"Jinyu Chinese","Li 李, Rong 榮 and Shen 沈, Ming 明",1994,"Taiyuan fangyan cidian 太原方言詞典 [Taiyuan Dialect Dictionary]","Jiangsu Jiaoyu Chubanshe 江蘇敎育出版社","","","","","","",,"1"
"Jiongnai Bunu","Mao 毛, Zongwu 宗武 and Li 李, Yunbing 云兵",2002,"Jiongnaiyu yanjiu 炯奈语研究 [A study of Jiongnai]","Central Nationalities University Press 中央民族大学出版社","","","","","","",,""
"Judeo-Iraqi Arabic","Bar-Moshe, Assaf",2019,"The Arabic dialect of the Jews of Baghdad: phonology, morphology, and texts","Harrassowitz","","","","","","",,""
"Judeo-Tat","Authier, Gilles",2012,"Grammaire juhuri, ou judéo-tat, langue iranienne des Juifs du Caucase de l'est","Reichert","","","","","","",,""
"Judeo-Tripolitanian Arabic","Yoda, Sumikazu",2005,"The Arabic dialect of the Jews in Tripoli (Libya): grammar, text and glossary","Harrassowitz","","","","","","",,""
"Judeo-Tunisian Arabic","Singer, Hans-Rudolf",1984,"Grammatik der arabischen Mundart der Medina von Tunis [Grammar of the Arabic dialect of the Medina of Tunis]","Walter de Gruyter","","","","","","",,""
"Kabardian","Colarusso, John",1992,"A grammar of the Kabardian language","The University of Calgary Press","","","","","","",,""
"Kachchi","Rohra, Satish Kumar",1966,"Descriptive analysis of Kachi (Kacchi)","","Deccan College","","","","","",,""
"Kadar","Indira, R.",1976,"Descriptive analysis of Kāḍar","","Deccan College","","","","","",,""
"Kado","Sangdong, David",2012,"A grammar of the Kadu (Asak) language","","LaTrobe University","","","","","",,""
"Kaduo","Min 敏, Zhao 赵 and Zhu 朱, Maoyun 茂云",2011,"Mojiang Hanizu Kaduohua cankao yufa 墨江哈尼族卡多话参考语法 [A reference grammar of Mojiang Kaduo]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Kajkavian","Houtzagers, Peter",1999,"The Kajkavian dialect of Hidegség and Fertőhomok","Rodopi","","","","","","",,""
"Kajtak","Temirbulatova Темирбулатова, S. С. M. М.",2004,"Xajdakskij dialekt darginskogo jazyka Хайдакский диалект даргинского языка [The Kajtak dialect of the Dargwa language]","Издатедьство типографии ДНЦ РАН Izdated'stvo Tipografii DNC RAN","","","","","","",,""
"Kangjia","Siqin 斯钦, Chaoketu 朝克图",1999,"Kangjiayu yanjiu 康家语研究 [A study of Kangjia]","Shanghai Yuandong Chubanshe 上海远东出版社","","","","","","",,""
"Kangri","Sharma, Shyamlal",1974,"Kāṅgaṛī: a descriptive study of the Kangra Valley dialect of Himachal Pradesh","V. V. B. Institute of Sanskrit and Indological Studies, Panjab University","","","","","","",,""
"Kannada","Sridhar, S. N.",1990,"Kannada","Routledge","","","","","","",,""
"Karachay-Balkar","Seegmiller, Steve",1996,"Karachay","Lincom Europa","","","","","","",,""
"Karaim","Kacaoğlu, Timur",2006,"Karay: The Trakai dialect","Lincom Europa","","","","","","",,""
"Kashmiri","Wali, Kashi and Koul, Omkar N.",1997,"Kashmiri: A Cognitive-Descriptive Grammar","Routledge","","","","","","",,""
"Kashubian","Stone, Gerald",1993,"Cassubian","Routledge","","The Slavonic languages","Comrie, Bernard and Corbett, Greville G.","","759--794","",,""
"Kathmandu Valley Newari","Joshī, Sunder Krishna",1984,"A descriptive Study of the Bhaktapur dialect of Newari","","Deccan College","","","","","",,""
"Kati","Грюнберг Grjunberg, Александр Леонович Aleksandr leonovich",1980,"Jazyk kati. Teksty, grammataticheskij ocherk Язык кати. Тексты, грамматический очерк [Kati language. Texts, grammar sketch]","Nauka Наука","","","","","","",,""
"Katso","Donlay, Chris",2015,"A functional grammar of Khatso","","University of California at Santa Barbara","","","","","",,""
"Kayan Lahwi","Manson, Kenneth Neil",2010,"A grammar of Kayan, a Tibeto-Burman language","","La Trobe University","","","","","",,""
"Kazakh","Geng 耿, Shimin 世民",1989,"Xiandai Hasakeyu yufa 现代哈萨克语语法 [Contemporary Kazakh grammar]","Zhongyang Minzu Daxue Chubanshe 中央民族大学出版社","","","","","","",,""
"Kelantan-Pattani Malay","Tadmor, Uri",1995,"Language Contact and Systemic Restructuring: The Malay Dialect of Nonthaburi, Central Thailand","","University of Hawai'i at Mānoa","","","","","",,""
"Ket","Georg, Stefan",2007,"A descriptive grammar of Ket (Yenisei-Ostyak)","Global Oriental","","","","","","1",,""
"Khakas","Anderson, Gregory D. S.",1998,"Xakas","Lincom","","","","","","",,""
"Khams Tibetan","Bartee, Ellen Lynn",2007,"A grammar of Dongwang Tibetan","","University of California at Santa Barbara","","","","","",,""
"Kharia","Malhotra, Veena",1982,"The Structure of Kharia: A Study in Linguistic Typology and Change","","Jawaharlal Nehru University","","","","","",,""
"Khasi","Nagaraja, K.S.",1977,"A descriptive analysis of Khasi","","Deccan College","","","","","",,""
"Khezha Naga","Kapfo, Kedutso",2004,"The Ethnology of the Khezhas & Khezha grammar","Central Institute of Indian Languages","","","","","","",,""
"Khinalug","Kibrik, Aleksandr E.",1994,"Khinalug","Caravan Books","","The indigenous languages of the Caucasus","Smeets, Rieks","","367--406","4",,""
"Khmu","Soundara, Lamphoune",2019,"Contribution à la grammaire de la langue kmhmouʔ [Contribution to the grammar of the Kmhmouʔ language]","","INALCO","","","","","",,""
"Khroskyabs","Lai, Yunfan",2017,"Grammaire du khroskyabs de Wobzi [Grammar of the khroskyabs of Wobzi]","","Université de la Sorbonne Nouvelle (Paris 3)","","","","","",,""
"Khwarshi-Inkhoqwari","Khalilova, Zaira",2009,"A grammar of Khwarshi","","Rijksuniversiteit te Leiden","","","","","",,""
"Kildin Saami","Rießler, Michael",2022,"Kildin Saami","Oxford University Press","","The Oxford guide to the Uralic languages","Laakso, Johanna and Skribnik, Elena","","219--239","",,""
"Kirghiz","Hu 胡, Zhenhua 振华",1986,"Keerkezi-yu jianzhi 柯尔克孜语简志 [Description of the Kirghiz language]","Minzu Chubanshe 民族出版社","","","","","","",,"1"
"Kirmanjki","Selcan, Zülfü",1998,"Grammatik der Zaza-Sprache: Nord-Dialekt (Dersim-Dialekt)","Wissenschaft und Technik-Verlag","","","","","","",,""
"Kman","Li 李, Daqin 大勤",2002,"Gemanyu Yanjiu 格曼语研究 [A study of Geman]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Kodava","Garman, Michael",1973,"A grammar of the Coorg language","","University of Edinburgh","","","","","",,""
"Koi","Rai, Tara Mani",2015,"A grammar of Koyee","","Tribhuvan University","","","","","",,""
"Koireng","Waikhom, Kunjalata Devi",2013,"A descriptive grammar of Sadu Koireng","","Manipur University","","","","","",,""
"Kölsch","Helke, Georg",1964,"Zur Phonologie der Stadtkölner Mundart: Eine experimentelle Untersuchung der akustischen Unterscheidungsmerkmale [On the phonology of the Cologne dialect: an experimental study of acoustic features]","Elwert","","","","","","",,""
"Komi-Permyak","Hausenberg, Anu-Reet",1998,"Komi","Routledge","","The Uralic languages","Abondolo, Daniel","","305--326","",,""
"Komi-Zyrian","Kuznetsov, Nikolay",2022,"Komi","Oxford University Press","","The Oxford guide to the Uralic lnaguages","Bakró-Nagy, Marianne and Laakso, Johanna and Skribnik, Elena","","487--506","",,""
"Konda-Dora","Krishnamurti, Bhadriraju",1969,"Koṇḍa or Kūbi: a Dravidian language (Texts, grammar, and vocabulary)","Tribal Cultural Res. \& Training Inst., Gov. of Andhra Pradesh","","","","","","",,""
"Konkan Marathi","Laddu, Suhasini L.",1961,"Linguistic analysis of Koli (a dialect of Marathi)","","Deccan College","","","","","",,""
"Korean","Lee 이, Jinho 진호",2021,"Kwuke umwunlon kanguy 국어 음운론 강의 [A Course in Korean Phonology]","Cipmwuntang 집문당","","","","","","",,""
"Korku","Nagaraja, K.S.",1999,"Korku Language: Grammar, Texts and Vocabulary","Institute for the Study of Languages and Cultures of Asia and Africa, Tokyo University of Foreign Studies","","","","","","",,""
"Korra Koraga","Shetty, Ramakrishna T.",1978,"Koraga Grammar (A descriptive study of a Dravidan dialect)","Deccan College","","","","","","",,""
"Koryak","Kurebito, Megumi",2004,"A report of Koryak phonology","","","","","Languages of the North Pacific Rim","117--144","9",,""
"Kotia-Adivasi Oriya-Desiya","Gauda, Dukhishyam",1989,"Study of Ganjami Dialect of Oriya","","Deccan College","","","","","",,""
"Kryz","Authier, Gilles",2009,"Grammaire kryz: Langue caucasique d'Azerbaïdjan, dialecte d'Alik [Kryz grammar: Caucasian language of Azerbaijan, dialect of Alik]","Peeters","","","","","","",,""
"Ksingmul","Pogibenko Погибенко, T. G. Т. Г. and Buy Буй, Kxan' Txe Кхань Тхе",1990,"Jazyk Ksingmul: Materialy sovetsko-v'etnamskoj lingvisticheskoj èkspedicii 1979 goda Язык ксингмул: Материалы советско-вьетнамской лингвистической экспедиции 1979 года [Xingmul Language: Materials of the 1979 Soviet-Vietnamese Linguistic Expedition]","Nauka Наука","","","","","","",,""
"Kubachi","Vamling, Karina and Tchantouria, Revaz",1991,"Sketch of the grammar of Kubachi: the simple sentence","","","","","Working papers / Lund University, Department of Linguistics and Phonetics","221--236","38",,""
"Kucong","Chang 常, Junzhi 俊之 and Dai 戴, Qingxia 庆厦",2011,"Yuánjiāng kǔcōng huà cānkǎo yǔfǎ 元江苦聪话参考语法 [Reference grammar of Yuan-jiang Kucong]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Kui (India)","Maheswaran, C.",2008,"A descriptive grammar of the Kui language","Dravidian University","","","","","","",,""
"Kulung (Nepal)","Tolsma, Gerard Jacobus",2006,"A grammar of Kulung","Brill","","","","","","",,""
"Kumaoni","Sharma, D. D.",1985,"The Formation of Kumauni Language","Bahri Publications PVT. LTD.","","","","","","1",,""
"Kumarbhag Paharia","Mahapatra, Bijaya Prasad",1976,"The phonology and morphology of Malto (with ethnosemantic notes)","","University of Calcutta","","","","","",,""
"Kumyk","Levitskaja Левитская, L. S. Л. С.",1997,"Kumykskij jazyk Кумыский язык [Kumyk language]","Rossijskaja Akademija Nauk, Institut Jazykozanija Российская Академия Наук, Институт Языкознания","","Язык мира: тюркские языки Jazyk mira: tjurkskie jazyki [Languages of the world: Turkic languages]","Tenishev Тенишев, E. R. Е. Р.","","319--327","",,""
"Kumzari","van der Wal Anonby, Christina",2015,"A grammar of Kumzari: a mixed Perso-Arabian language of Oman","","Rijksuniversiteit te Leiden","","","","","",,""
"Kurtokha","Hyslop, Gwendolyn",2011,"A grammar of Kurtöp","","University of Oregon","","","","","",,""
"Kurukh","Kobayashi, Masato and Tirkey, Bablu",2017,"The Kurux Language: Grammar, Texts, and Lexicon","Brill","","","","","","",,""
"Kuvi","Israel, Motchakon",1979,"A Grammar of the Kuvi Language","Dravidian Linguistics Association","","","","","","",,""
"Kuy","Yantreesingh, Pailin",1980,"The phonology of the Kuay language of Suphanburi with comparison to the Kuy language","","Mahidol University","","","","","",,""
"Kyerung","Huber, Brigitte",2005,"The Tibetan Dialect of Lende (Kyirong): A grammatical description with historical annotations","VGH Wissenschaftsverag","","","","","","",,""
"Lachi","Kosaka, Ryuichi",2000,"A descriptive study of the Lachi Language: Syntactic Description, Historical Reconstruction and Genetic Relation","","Tokyo University of Foreign Studies","","","","","",,""
"Ladin","Chiocchetti, Armin",2016,"Fonetiska och fonologiska ljudförändringar i ladinska i Val di Fassa [Phonetic and phonological sound changes in Ladino in Val di Fassa]","","Uppsala Universitet","","","","","",,""
"Ladino","Sala, Marius",1971,"Phonétique et phonologie du judéo-espagnol de Bucarest","Mouton de Gruyter","","","","","","",,""
"Lahu","Matisoff, James A.",1982,"The Grammar of Lahu","University of California Press","","","","","","",,""
"Lak","Friedman, Victor A.",2020,"Lak","Oxford University Press","","The Oxford handbook of languages of the Caucasus","Polinsky, Maria","","201--241","",,""
"Lakkia","Fan, Wenjia",2019,"A Grammar of Lakkja, South China","","University of Melbourne","","","","","",,""
"Lambadi","Trail, Ronald L.",1970,"The grammar of Lamani","Summer Institute of Linguistics","","","","","","",,""
"Lamjung-Melamchi Yolmo","Gawne, Lauren",2016,"A sketch grammar of Lamjung Yolmo","Asia-Pacific Linguistics","","","","","","",,""
"Lao","Enfield, Nick James",2007,"A Grammar of Lao","Mouton de Gruyter","","","","","","",,""
"Lashi","Dai 載, Qingxia 庆厦 and Li 李, Jie 洁",2007,"Leqiyu Yanjiu 勒期语研究 [Leqi language]","Zhongyang Minzu Daxue Chubanshe 中央民族大学出版社","","","","","","",,""
"Latvian","Karins, A Krisjanis",1996,"The prosodic structure of Latvian","University of Pennsylvania","","","","","","",,""
"Laven","Jacq, Pascale",2001,"A description of Jruq (Loven): a Mon-Khmer language of the Lao PDR","","Australian National University","","","","","",,""
"Laz","Lacroix, René",2009,"Description du dialecte laze d'Arhavi (caucasique du sud, Turquie): Grammaire et textes [Description of the Laz dialect of Arhavi (South Caucasian, Turkey): Grammar and texts]","","Université Lumière Lyon 2","","","","","",,""
"Leh Ladakhi","Koshal, Sanyukta",1979,"Ladakhi Grammar","Motilal Banarsidass","","","","","","",,""
"Lepcha","Sinhā, Prabhakar",1966,"A descriptive grammar of Lepcha","","Deccan College","","","","","",,""
"Lezgian","Haspelmath, Martin",1993,"A Grammar of Lezgian","Mouton de Gruyter","","","","","","",,""
"Lhomi","Vesalainen, Olavi",2014,"A grammar sketch of Lhomi","","","","","","","",,""
"Liangmai Naga","Widinibou",2011,"A descriptive analysis of Liangmai","","Assam University","","","","","",,""
"Ligurian","Toso, Fiorenzo",1997,"Grammatica del genovese: Varietà urbana e di koiné [Grammar of Genovese: Urban variety and koine]","Le Mani","","","","","","",,""
"Limbu","van Driem, George",1987,"A Grammar of Limbu","Mouton de Gruyter","","","","","","",,""
"Lishán Didán","Khan, Geoffrey",2008,"The Jewish Neo-Aramaic Dialect of Urmi","Gorgias","","","","","","",,""
"Lishana Deni","Mutzafi, Hezy",2008,"The Jewish Neo-Aramaic Dialect of Betanure (Province of Dihok)","Otto Harrassowitz","","","","","","",,""
"Lishanid Noshan","Khan, Geoffrey",1999,"A Grammar of Neo-Aramaic: The Dialect of the Jews of Arbel","Brill","","","","","","",,""
"Lisu","Roop, Delagnel Haigh",1970,"A Grammar of the Lisu Language","","Yale University","","","","","",,""
"Lithuanian","Vytautas, Ambrazas and Geniušienė, Emma and Girdenis, Aleksas and Sližienė, Nijolė and Tekorienė, Dalija and Valeckienė, Adelė and Valiulytė, Elena",2006,"Lithuanian Grammar","Institute of Lithuanian Language","","","","","","",,"2"
"Lombard","Nicoli, Franco",1983,"Grammatica Milanese [Milanese grammar]","Bramante editrice","","","","","","",,""
"Longchuan Achang","Dai 戴, Qingxia 庆厦 and Cong 丛, Tiehua 铁华 and Jiang 蒋, Ying 颖 and Li 李, Jie 洁",2005,"Xiandaoyu yanjiu 仙岛语研究 [A study of Xiandao]","Zhongyang Minzu Daxue Chubanshe 中央民族大学出版社","","","","","","",,""
"Lower Sorbian","Stone, Gerald",1993,"Sorbian","Routledge","","The Slovanic languages","Comrie, Bernard and Corbett, Greville G.","","593--685","",,""
"Macedonian","Groen, B. M.",1977,"A structural description of the Macedonian dialect of Dihovo: phonology, morphology, texts, lexicon","The Peter de Ridder Press","","","","","","",,""
"Magahi","Sinha, Anil Chandra",1966,"Phonology and morphology of a Magahi dialect","","Deccan College","","","","","",,""
"Maithili","Ramawatar Yadav",1996,"A Reference Grammar of Maithili","Mouton de Gruyter","","","","","","",,""
"Malacca-Batavia Portuguese Creole","Maurer, Philippe",2011,"The former Portuguese Creole of Batavia and Tugu (Indonesia)","Battlebridge","","","","","","",,""
"Malavedan","Hyrunnisa Beegum, A.",1991,"Language of Malavedas","","University of Kerala","","","","","",,""
"Malayalam","R. E. Asher and T. C. Kumari",1997,"Malayalam","Routledge","","","","","","",,""
"Maltese","Borg, Albert and Azzopardi-Alexander, Marie",1997,"Maltese","Routledge","","","","","","",,""
"Manchu","Zikmundová, Veronika and Gao, Wa",2023,"Spoken Manchu","Routledge","","The Tungusic languages","Vovin, Alexander and Alonso de la Fuente, José Andrés and Janhunen, Juha","","463--482","",,""
"Mandarin Chinese","Duanmu, San",2007,"The phonology of standard Chinese","Oxford University Press","","","","","","",,""
"Mang","Gao 高, Yongqi 永奇",2003,"Mangyu yanjiu 莽語硏究 [The study of Mang language]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Mangghuer","Slater, Keith W.",2003,"A Grammar of Mangghuer: A Mongolic language of China's Qinghai-Gansu Sprachbund","RoutledgeCurzon","","","","","","",,""
"Manipuri","Chelliah, Shobhana Lakshmi",1992,"A study of Manipuri grammar","","University of Texas at Austin","","","","","",,""
"Mao Naga","Giridhar, P. P.",1994,"Mao Naga Grammar","Central Institute of Indian Languages","","","","","","",,""
"Maonan","Lu, Tian Qiao",2008,"A Grammar of Maonan","Universal","","","","","","",,""
"Maram Naga","Singh, Pebam Ibopishak",1984,"A descriptive grammar of Maram","","Manipur University","","","","","",,""
"Marathi","Pandharipande, Rajeshwari V.",1997,"Marathi","Routledge","","","","","","",,""
"Marwari (India)","Gusain, Lakhan",2004,"Marwari","","Lincom","","","","","",,""
"Mehri","Watson, Janet C. E.",2012,"The structure of Mehri","Harrassowitz","","","","","","",,""
"Mewati","Bharadwaj, D. R.",1974,"Descriptive analysis of Mewati","","Deccan College","","","","","",,""
"Milang","Modi, Yankee",2017,"The Milang Language: Grammar and Texts","","Universität Bern","","","","","",,""
"Min Bei Chinese","Ngai, Sing Sing",2021,"A Grammar of Shaowu: A Sinitic Language of Northwestern Fujian","Mouton","","","","","","",,""
"Min Nan Chinese","Chen, Weirong",2020,"A Grammar of Southern Min: The Hui’an Dialect","DeGruyter Mouton","","","","","","",,""
"Miyako","Shimoji, Michinori",2008,"A Grammar of Irabu, a Southern Ryukyuan Language","","Australian National University","","","","","",,""
"Mlabri","Rischel, J∅rgen",1995,"Minor Mlabri: A Hunter-Gatherer Language of Northern Indochina","Museum Tusculanum Press, University of Copenhagen","","","","","","",,""
"Modern Greek","Holton, David and Mackridge, Peter and Philippaki-Warburton, Irene",2012,"Greek: A comprehensive grammar","Routledge","","","","","","",,"2"
"Modern Hebrew","Kreitman, Rina",2008,"The phonetics and phonology of onset clusters: The case of Modern Hebrew","","Cornell University","","","","","",,""
"Moken","Chantanakomes, Veena",1980,"A description of Moken: a Malayo-Polynesian language","","Mahidol University","","","","","",,""
"Mon","Jenny, Mathias",2005,"The verb system of Mon","","University of Zurich","","","","","",,""
"Mongghul","Faehndrich, Burgel R.M.",2007,"Sketch grammar of the Karlong variety of Mongghul, and dialectal survey of Mongghul","","University of Hawai'i at Mānoa","","","","","",,""
"Moselle Franconian","Schanen, François",2004,"Parlons Luxembourgeois [Let's speak Luxembourgish]","L'Harmattan","","","","","","",,""
"Moyon","Kongkham, Hemabati Devi",2010,"A descriptive grammar of Moyon","","Manipur University","","","","","",,""
"Muduga","Rajendran, Nanu",1978,"Description of the Language of Muḍugas","","University of Kerala","","","","","",,""
"Mulam","Yin 银, Shage 莎格",2014,"Yincun mulaoyu cankao yufa 银村仫佬语参考语法 [Reference grammar of Yincun Mulao]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Mundari","Cook, Walter Anthony",1965,"A Descriptive Analysis of Mundari: A Study of the Structure of the Mundari Language According To the Methods of Linguistic Science, With Particular Attention To the Units of Sound, the Units of Meaning, the Units of Grammar, and Their Mutually Contrastive Arrangement Patterns","","Georgetown University","","","","","",,""
"Muslim Tat","Mammadova, Nayiba",2017,"Eléments de description et documentation du tat de l'Apshéron, langue iranienne d'Azerbaïdjan [Elements of description and documentation of the Apsheron tat, Iranian language of Azerbaijan]","","INALCO","","","","","",,""
"Naga Pidgin","Bhattacharjya, Dwijen",2001,"The Genesis and Development of Nagamese: Its Social History and Linguistic Structure","","City University of New York","","","","","",,""
"Nanai","Jin 金, Lina 莉娜 and Cheng 程, Yaheng 亚恒",2019,"Heilongjiang tongjiang hezheyu 黑龙江同江赫哲语 [Nanai language in Tongjiang, Heilongjiang]","Shangwu Yinshuguan 商務印书馆","","","","","","",,""
"Narua","Lidz, Liberty A.",2010,"A Descriptive Grammar of Yongning Na (Mosuo)","","University of Texas at Austin","","","","","",,""
"Naukan Yupik","Menovščikov Меновщиков, Georgij A. Георгий А.",1975,"Jazyk naukanskix èskimosov Язык науканских эскимосов [Language of the Naukan Eskimo]","Nauka Наука","","","","","","",,""
"Negidal","Pakendorf, Brigitte and Aralova, Natalia",2020,"Even and the Northern Tungusic languages","Oxford University Press","","The Oxford guide to the Transeurasian languages","Robbeets, Martine and Savelyev, Alexander","","288--304","",,"1"
"Neo-Mandaic","Häberl, Charles",2009,"The Neo-Mandaic Dialect of Khorramshahr","Harrassowitz","","","","","","",,""
"Nepali","Acharya, Jayaraj",1990,"A descriptive grammar of Nepali and an analyzed corpus","","Georgetown University","","","","","",,""
"Nganasan","Wagner-Nagy, Beáta Boglárka",2019,"A grammar of Nganasan","Brill","","","","","","",,""
"Nihali","Nagaraja, K. S.",2014,"The Nihali Language (Grammar, Texts, Vocabulary)","Central Institute of Indian Languages","","","","","","",,""
"Nimadi","Lekhwani, Kanhaiyalal",1979,"Descriptive analysis of Nimaḍi","","Deccan College","","","","","",,""
"Nocte Naga","Boro, Krishna",2017,"A Grammar of Hakhun Tangsa","","University of Oregon","","","","","",,""
"Nogai","Karakoç, Birsel",2021,"Noghay","Routledge","","The Turkic languages","Johanson, Lars and Csató-Johanson, Éva","","354--369","",,"2"
"North Azerbaijani","Ragagnin, Elisabetta",2011,"Azeri","Routledge","","The Turkic languages","Johanson, Lars and Csató-Johanson, Éva","","","",,""
"North Levantine Arabic","Cowell, Mark W.",1964,"A reference grammar of Syrian Arabic (based on the dialect of Damascus)","Georgetown Univ. Press","","","","","","",,""
"North Mesopotamian Arabic","Fink, Andreas",2017,"Der arabische Dialekt von Hasankeyf am Tigris (Osttürkei) [The Arabic dialect of Hasankeyf in Tigris (eastern Turkey)","Otto Harrassowitz","","","","","","",,""
"North Saami","Kahn, Lily and Valijärvi, Riitta-Liisa",2017,"North Sámi: An Essential Grammar","Routledge","","","","","","",,""
"North-Central Dargwa","Moroz, George",2019,"Phonology of Mehweb","Language Science Press","","The Mehweb language: Essays on phonology, morphology and syntax","Daniel, Michael and Dobrushina, Nina and Ganenkov, Dmitry","","17--37","",,""
"Northeastern Thai","Kongsin, Phramaha Kham-Iang",1979,"A descriptive analysis of the modern Northeastern Thai dialect (Modern Thai I'san)","","Deccan College","","","","","",,""
"Northern Frisian","Lasswell, Steven T.",1998,"An ecological reference grammar of Solring North Frisian","","University of California Santa Barbara","","","","","",,""
"Northern Gondi","Lincoln, Neville John",1969,"A Descriptive Analysis of the Adilabad Dialect of Gondi","","Cornell University","","","","","",,""
"Northern Jinghpaw","Morey, Stephen",2010,"Turung: a variety of Singpho language spoken in Assam","Research School of Pacific and Asian Studies, Australian National University","","","","","","",,""
"Northern Khmer","Pornpen, Sujinpram",1989,"Morphemes to clauses in Northern Khmer (Surin)","","Mahidol University","","","","","",,""
"Northern Kurdish","Bedir-Khan, Celadet Ali and Lescot, Roger",1970,"Grammaire kurde: (dialecte kurmandji) [Kurdish grammar: (Kurmanji dialect)]","Maisonneuve","","","","","","",,""
"Northern Mansi","Pirotti, Giuliano",1972,"Grammatica vogula: con una scelta di poesie vogule [Vogula grammar: with a choice of Vogula poems]","Assoc. Cult. Italo-Ungherese ``Taddeo Ugoleto da Parma''","","","","","","",,""
"Northern Pashto","Tegey, Habibullah and Robson, Barbara",1996,"A reference grammar of Pashto","Center for Applied Linguistics","","","","","","",,""
"Northern Pinghua","Li 李, Lianjin 连迸",2009,"Guangxi chongzuo jiangzhou zheyuanhua bijiao yanjiu 广西崇左江州蔗园话比较研究 [A comparative study of the Zheyuan lect in Jiangzhou, Chongzuo, Guangxi]","Guangxi Shifan Daxue Chubanshe 广西师范大学出版社","","","","","","",,""
"Northern Pumi","Daudey, Henriëtte",2014,"A grammar of Wadu Pumi","","La Trobe University","","","","","",,""
"Northern Qiang","LaPolla, Randy J. and Huang, Chenglong",2003,"A Grammar of Qiang with annotated texts and glossary","Mouton de Gruyter","","","","","","",,""
"Northern Thai","Pankhuankhatiya, Phramaha Ruangdej",1976,"A synchronic-comparative study of Modern Thai and Modern Lanna [A study in contrast]","","Deccan College","","","","","",,""
"Northern Tosk Albanian","Coretta, Stefano and Riverin-Coutlée, Josiane and Kapia, Enkeleida and Nichols, Stephen",2022,"Northern Tosk Albanian","","","","","Journal of the International Phonetic Association","","(ahead of print)",,""
"Northern Uzbek","Sjoberg, Andrée F.",1963,"Uzbek structural grammar","Indiana University","","","","","","",,""
